URL,Title,Address,Description,Compensation,Employment_type
https://newyork.craigslist.org/mnh/egr/d/building-envelope-architect/6247382113.html,Building Envelope Architect,TriBeCa,"One of New York City's leading professional firms dedicated to the restoration and renovation of buildings and infrastructure is currently seeking an architect with  2 to 5 years of relevant experience. 

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at",Commensurate with experience,full-time
https://newyork.craigslist.org/mnh/egr/d/building-science-consultant/6246962831.html,Building Science Consultant - NY Metro Area,Midtown West,"The Levy Partnership, Inc. (www.levypartnership.com), a leading building science consulting firm, is seeking a motivated and energetic individual to fill the role of Building Science Consultant. The position involves providing energy efficiency, green building and sustainability consulting services to building owners and developers. Projects are primarily new construction low-rise and mid-rise multifamily and single family buildings, including Passive House projects. Your time would be divided between our office in Manhattan just blocks from Columbus Circle near Central Park, and job sites throughout the NY metro area.

Duties include:
   •  Read and interpret building plans, construction drawings and specifications;
   •  Use energy modeling software;   
   •  Perform field inspections, pressurization and other testing;
   •  Safely navigate construction sites including ladders and attics;
   •  Carry equipment up to 35 lbs;
   •  Work outdoors/in non-conditioned buildings and in normal office settings; and,
   •  Effectively and accurately communicate in a professional manner.

The ideal candidate will have a background in Engineering, Architecture, Construction or related field, and hands-on understanding of building science, HVAC systems and energy efficiency. At least one year of building energy efficiency experience, as well as HERS Rater or HERS Rating Field Inspector certification, is highly desirable. A valid driver's license and proficiency with MS Office software, including Word and Excel, are required.

Salary is commensurate with experience. The position comes with an excellent benefits package. Please submit your resume and cover letter with salary expectations.",Based on experience,full-time
https://newyork.craigslist.org/mnh/egr/d/expeditor-in-architecture/6246967886.html,Expeditor in Architecture field,Flatiron,Seeking Registered NYC Expeditor for work at NYC Department of buildings and other City Agencies. 1-3 years experience and Class 1 ID minimum,"on salary, vacations, sick days and regular holidays",full-time
https://newyork.craigslist.org/mnh/egr/d/floor-plan-measurer-as-built/6246982383.html,Floor Plan Measurer: AS-BUILT Drawings $35/hr (New York City),,"We have an immediate opening for a floor plan measurer. This is a flexible position for part-time work (contractor). You will set your own schedule and we will fit appointments into your availability (M-F, 9-5 only). 

Applicant must be highly experienced in creating as-built condition drawings (floor plans) of residential and commercial properties in CAD. Applicant must have the ability to create CAD drawings on-site using own laptop and AutoCAD software. Taking measurements on paper and later transferring to CAD drawings is NOT acceptable. Applicant must use a laser tape measure on-site.

Applicant must:
- Have a good understanding of building construction
- Be highly-proficient in CAD
- Have availability during normal weekday business hours: 9-5 to survey properties (please do not apply if you are looking for after-hour or weekend appointments.)
- Have own vehicle to visit properties
- Be reliable and very detail oriented

There are no set number of measurements in a day or week as appointments vary from week to week. We prefer a candidate with lots of availability but can set up as many or as few appointments as desired. This is a great, flexible opportunity for the right candidate.

Compensation: $35 per hr plus $10 travel and $10 per diem

Please send email with your previous work experience and education. 
You must use the following subject line in your email: ""Re: Floor Plan Measurer - New York""",$35 per hour plus $10 travel and $10 per diem,part-time
https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6246796535.html,Interior Design Job Captain (NYCINT1860),Flatiron,"Ware Malcomb is hiring an Interior Design Job Captain in our New York City office. 
 
The Interior Design Job Captain assists the Project Manager or Architect in the management of multiple interior architecture projects.

Candidate must have:
-Bachelor's degree in Interior Design or Architecture
-3 years of work experience in commercial interior architecture
-Strong AutoCAD and/or Revit skill set
-Experience using Sketch Up, 3D Rendering and Adobe Creative Suite
-Strong organization, communication and problem solving skills
-Excellent presentation skills
-Basic knowledge of current building code, including ADA requirements

Ware Malcomb is an international design firm offering integrated services to clients throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:","Based on experience, provide current or previous salary.",full-time
https://newyork.craigslist.org/mnh/egr/d/retail-design-project-manager/6246800324.html,Retail Design Project Manager (NYCINT1860),New York,"Ware Malcomb is hiring a Retail Design Project Manager in our New York City, NY office!

Project Managers manage the successful completion of multiple projects while providing excellent client service, leadership, and guidance to the project team.  You will function as the primary contact for all communications with the client, ensuring timely resolution of client concerns and management of business issues including contracts, fees and additional services. The qualified candidate will have great communication skills, proven client relationship skills with experience leading teams.

Retail Design Project Manager preferred qualifications:

-8+ years of experience working on retail and interior design projects with minimum 2 years prior retail project management experience.
-Must have a Bachelor's degree in architecture or interior design.
-Experience working directly with clients from business development, presentation, negotiation and project completion.
-Excellent communication skills. The Project Manager is able to listen to clients' needs and communicate needs and provide direction to consultants and staff both verbally and in writing while maintaining positive client relationships throughout project by keeping the client apprised of project progress on a regular basis.  Initiate and maintain contact with other key project individuals for clarification, coordination and negotiation of critical issues
-Experience managing the project schedule and deliverables by overseeing coordination and quality assurance of documents required to complete a project.
-Ability to effectively meet deadlines.
-Relevant experience in New York City with ADA, building codes and permits.
-Ability to manage multiple projects through all phases of design and construction.
-Ability to work in a team environment while taking responsibility for the outcome of the project.
-Proficiency of AutoCAD required. 
-Proficiency in Deltek Vision, MS Project, Newforma and Revit preferred.
-Licensure (NCIDQ or registered architect) preferred
-Experience preparing fee proposals and negotiate fess and assist with contract negotiation.

Ware Malcomb is an international design firm offering integrated services throughout the world.  Founded in 1972, Ware Malcomb offers planning, architecture, interior design, branding, and civil engineering to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.
  

**Must be legally authorized to work in the United States**

Submit resume:",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/d/project-architect-nyccom1810/6246798141.html,Project Architect (NYCCOM1810),New York,"Ware Malcomb is hiring a Project Architect in our New York City office located in the Flatiron district.

Project Architect candidates must have

-5+ years of experience managing commercial and/or industrial architecture projects
-Ability to lead projects from beginning to completion
-Experience with budgets and proposals 
-Experience working directly with clients
-Excellent communication skills
-Ability to be a team player and work independently
-Good CAD and Revit skills 
-Great personality
-Licensed Architect

Ware Malcomb is an international design firm offering integrated services throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, branding, civil engineering, and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be able to legally work in the United States**

Submit resume:",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/d/architecture-project-manager/6246805284.html,Architecture Project Manager (NYCCOM1810),New York,"Ware Malcomb is hiring an Architecture Project Manager in our New York City office located in the Flatiron district.
  
Project Managers are responsible for the successful management of multiple architecture projects.

Project manager candidates must have:

-7+ years of experience managing commercial architecture projects 
-Excellent communication skills - able to listen to clients needs and communicate needs and direction to consultants and staff
-Ability to be a team player and work independently
-AutoCAD and Revit proficiency required
-Great attitude, ready to hit the ground running

Ware Malcomb is an international design firm offering integrated services to clients throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6246792755.html,Interior Design Project Designer (NYCINT1860),New York,"Ware Malcomb is hiring an Interior Design Project Designer in our New York City, NY office!

The Project Designer is a highly creative, ambitious and experienced Interior Designer who is interested in helping set the aesthetic standard on multiple projects and product types. This role works closely with Senior Designer in creating and coordinating projects across all east coast offices to support our corporate interiors projects.  The qualified candidate will have great communication skills, proven client relationship skills with experience designing multiple projects with little direction.

Project Designer qualifications:

-7+ years of experience working on corporate interior design projects.
-Experience includes a full range of interior design services, including generating overall interior design concepts, formulating design presentation strategies and making presentations.
-Experience performing programming, space planning, furniture selection, layout, product pricing, design and selection of fabrics and finishes.
-Experience selecting interior materials, colors, and finishes through project-relevant research as relates to new trends, codes and product. Coordinate with overall project design in multiple media types, including panel boards.
-Successful track record developing ongoing client relationships and determine clients' project goals.
-Experience developing and documenting furniture selection and specifications and create FF&E budgets.
-Ability to interpret and incorporate abstract concepts into concise, accurate drawings and details.
-Must be very detail oriented with a good understanding of drawings and millwork. 
-Basic knowledge of building regulations and safety codes.
-Proficiency of AutoCAD, SketchUp, and Adobe Creative Suite required. 
-Knowledge of Revit preferred.
-Experience conducting site visits when needed to review construction progress and ensure project accuracy.
-Experience in construction administration tasks such as reviewing and processing submittals related to interiors.
-Experience working with project team in correctly documenting design.
-Experience with following projects from inception through construction in order to maintain design quality and intent.

Ware Malcomb is an international design firm offering integrated services throughout the world.  Founded in 1972, Ware 
Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/d/intermediate-design-architect/6246922028.html,Intermediate Design Architect | Residential Buildings,SoHo,"Our client, a small design firm downtown, seeks a talented and self-motivated candidate for a design position. They want someone skilled and savvy who is eager to become involved in all phases of the design process. This individual should also have a sincere passion and talent for architectural design. Must thrive in a fast paced, multi-disciplinary design- built architecture and interior design studio specializing in high-end residential projects.

Skills: Zoning analysis / Building code / Energy compliance

Phases: sd / dd / cd/ ca

Required:

-Robust design sensibility
-Experience in all phases of design, from schematic through construction administration in the US.
-High-end residential building experience
-Involvement in project team staffing and scheduling as well as plan Review for quality control and code compliance.
-Day-to-day client contact.
-Experience with construction documentation, site supervision.
-Knowledge of Building and zoning Code and submittals process
-Team-building abilities,
-Detail oriented, problem-solving, follow-through and organization skills are key to this position.
-Effective communication and presentation abilities.
-Comp & Benefits: $70,000.00 Health and dental insurance

Job Type: Full-time","$70,000 Plus Benefits (health/dental)",full-time
